sample-id	sampling_number	object_number	spot_number	sample	institution	collection	type_of_room	object	material	type_of_stone	inv_number	spot	comments	weight
L_47	47	9	21	3	MfN	VertPal	Collection	Tendaguru				Air	reference	ok
L_48	48	10	22	1	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	outside around hole	very much touched by users	ok
L_49	49	10	22	2	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	outside around hole	very much touched by users	ok
L_50	50	10	22	3	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	outside around hole	very much touched by users	ok
L_51	51	10	23	1	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	"inside shell, around hole"	very much touched by users	ok
L_52	52	10	23	2	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	"inside shell, around hole"	very much touched by users	too low
L_53	53	10	23	3	MfN	Mollucs	Collection/exhibition	Triton horn			ZMB Moll 49360	"inside shell, around hole"	very much touched by users	ok
L_54	54	11	24	1	MfN	Mollucs	Collection	"Mobbi Collection, Müggelsee 1940"				"shells, inside/outside"	"untouched, original package unopened"	ok
L_55	55	11	24	2	MfN	Mollucs	Collection	"Mobbi Collection, Müggelsee 1940"				"shells, inside/outside"	"untouched, original package unopened"	ok
L_56	56	11	24	3	MfN	Mollucs	Collection	"Mobbi Collection, Müggelsee 1940"				"shells, inside/outside"	"untouched, original package unopened"	ok
L_58	58	12	25	1	MfN	Mollucs	Collection	Chiton				all parts	"untouched, original tin unopened"	ok
L_59	59	12	25	2	MfN	Mollucs	Collection	Chiton				all parts	"untouched, original tin unopened"	too low
L_60	60	12	25	3	MfN	Mollucs	Collection	Chiton				all parts	"untouched, original tin unopened"	too low
L_NC_BS1	0	0	0	1	DSMZ	Control	Control	BS						too low
L_NC_BS2	0	0	0	2	DSMZ	Control	Control	BS						ok
L_NC_BS3	0	0	0	3	DSMZ	Control	Control	BS						ok
L_NC_Kit_1	0	0	0	1	DSMZ	Control	Control	Kit						ok
L_NC_Kit2	0	0	0	2	DSMZ	Control	Control	Kit						ok
L_NC_Kit_3	0	0	0	3	DSMZ	Control	Control	Kit						ok
NCPCR1	0	0	0	1	DSMZ	Control	Control	PCR						too low
